Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",4.0,6.0
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0
